0.00000	0.00000
0.00000	0.00459
0.00046	0.01376
0.00046	0.02294
0.00046	0.02752
0.00046	0.03670
0.00092	0.04587
0.00183	0.05046
0.00183	0.05963
0.00183	0.06422
0.00183	0.07339
0.00229	0.08257
0.00229	0.08716
0.00275	0.09633
0.00275	0.10550
0.00321	0.11009
0.00321	0.11927
0.00321	0.12844
0.00321	0.13303
0.00413	0.14220
0.00413	0.15138
0.00413	0.15596
0.00413	0.16514
0.00413	0.17431
0.00413	0.17890
0.00413	0.18807
0.00413	0.19725
0.00413	0.20642
0.00413	0.21101
0.00413	0.22018
0.00413	0.22936
0.00413	0.23394
0.00413	0.24312
0.00459	0.25229
0.00459	0.25688
0.00505	0.26606
0.00505	0.27523
0.00642	0.27982
0.00642	0.28899
0.00642	0.29358
0.00642	0.30275
0.00780	0.31193
0.00780	0.31651
0.00780	0.32569
0.00780	0.33486
0.00826	0.33945
0.00826	0.34862
0.00872	0.35780
0.00872	0.36239
0.01009	0.37156
0.01009	0.37615
0.01009	0.38532
0.01101	0.39450
0.01147	0.39908
0.01193	0.40826
0.01193	0.41743
0.01239	0.42202
0.01284	0.43119
0.01284	0.43578
0.01422	0.44495
0.01468	0.44954
0.01468	0.45872
0.01514	0.46789
0.01606	0.47248
0.01651	0.48165
0.01651	0.49083
0.01697	0.49541
0.01697	0.50459
0.02064	0.50917
0.02110	0.51835
0.02110	0.52294
0.02156	0.53211
0.02156	0.54128
0.02248	0.54587
0.02248	0.55505
0.02248	0.55963
0.02294	0.56881
0.02385	0.57798
0.02477	0.58257
0.02477	0.59174
0.02523	0.59633
0.02615	0.60550
0.02661	0.61009
0.02798	0.61927
0.02982	0.62431
0.02982	0.63303
0.02982	0.64220
0.02982	0.64679
0.02982	0.65596
0.03073	0.66972
0.03073	0.67431
0.03073	0.68807
0.03303	0.69266
0.03486	0.70183
0.03670	0.70642
0.03716	0.71101
0.03761	0.72018
0.03807	0.72936
0.03899	0.73394
0.04083	0.74312
0.04083	0.74771
0.04174	0.75688
0.04220	0.76147
0.04266	0.77064
0.04266	0.77982
0.04266	0.78440
1.00000	1.00000
